いんえい	陰影	名詞	同音の漢字による書きかえ（影）
いんえい	陰翳	名詞
いんかう	淫行	名詞	詩韻
いんめつ	隠滅	名詞サ変	同音の漢字による書きかえ（隠）
いんめつ	湮滅	名詞サ変
いんれう	飲料	名詞	詩韻
うくゎつ	迂闊	名詞形動	詩韻
うけたまは	承	動詞ラ行五段	歴史的仮名遣い
うしな	失	動詞ハ行四段	歴史的仮名遣い
うた	うた	動詞ハ行四段	歴史的仮名遣い
うた	唄	動詞ハ行四段	歴史的仮名遣い
うた	歌	動詞ハ行四段	歴史的仮名遣い
うた	謡	動詞ハ行四段	歴史的仮名遣い
うた	謳	動詞ハ行四段	歴史的仮名遣い
うたが	疑	動詞ハ行四段	歴史的仮名遣い
うったうし	鬱陶し	形容詞	詩韻
うったうしが	鬱陶しが	動詞ラ行五段	詩韻
うったうしげ	鬱陶しげ	名詞形動	詩韻
うったへ	訴へ	動詞一段	歴史的仮名遣い
うへ	上	名詞	歴史的仮名遣い
うやま	敬	動詞ハ行四段	歴史的仮名遣い
うらな	占	動詞ハ行四段	歴史的仮名遣い
うりはら	売り払	動詞ハ行四段	歴史的仮名遣い
うるほ	潤	動詞ハ行四段	歴史的仮名遣い
うゑ	飢ゑ	動詞一段	歴史的仮名遣い
うゑ	植ゑ	動詞一段	歴史的仮名遣い
うを	魚	名詞	歴史的仮名遣い
えいきう	永久	名詞	詩韻
えいさい	穎才	名詞
えいさい	英才	名詞	同音の漢字による書きかえ（英）
えいしゅ	贏輸	名詞
えいち	叡智	名詞
えいち	英知	名詞	同音の漢字による書きかえ
えいゆ	贏輸	名詞	慣用音（輸）
えいゑん	永遠	名詞	詩韻
えうくゎい	妖怪	名詞	詩韻
えんがまへ	冂	名詞	歴史的仮名遣い
えんご	掩護	名詞サ変
えんご	援護	名詞サ変	同音の漢字による書きかえ（援）
お	追	動詞ハ行四段	歴史的仮名遣い
お	負	動詞ハ行四段	歴史的仮名遣い
おい	老い	動詞一段	歴史的仮名遣い,「老ゐる」ではない。
おきかへ	置き換へ	動詞一段	歴史的仮名遣い
おくだん	憶断	名詞サ変	同音の漢字による書きかえ（憶）
おくだん	臆断	名詞サ変
おくびゃぅ	憶病	名詞形動	広韻,同音の漢字による書きかえ（憶）
おくびゃう	憶病	名詞形動	詩韻,同音の漢字による書きかえ（憶）
おくびゃぅ	臆病	名詞形動	広韻
おくびゃう	臆病	名詞形動	詩韻
おくびょう	憶病	名詞形動	同音の漢字による書きかえ（憶）
おくびょう	臆病	名詞形動
おこな	行	動詞ハ行四段	歴史的仮名遣い
おぢ	怖ぢ	動詞一段	歴史的仮名遣い
おめでたう	おめでたう	感動詞	歴史的仮名遣い
おも	思	動詞ハ行四段	歴史的仮名遣い
おも	想	動詞ハ行四段	歴史的仮名遣い
おもひつ	思ひ付	動詞カ行五段	歴史的仮名遣い
おもひで	思ひ出	名詞	歴史的仮名遣い
おんぎ	恩義	名詞	同音の漢字による書きかえ（義）
おんぎ	恩誼	名詞
おんゐん	音韻	名詞	詩韻
か	交	動詞ハ行四段	歴史的仮名遣い
か	飼	動詞ハ行四段	歴史的仮名遣い
か	買	動詞ハ行四段	歴史的仮名遣い
がいえう	概要	名詞	詩韻
かいてん	回転	名詞サ変	同音の漢字による書きかえ（回）
かいてん	廻転	名詞サ変
かいゆう	回遊	名詞サ変	同音の漢字による書きかえ（遊）
かいゆう	回游	名詞サ変
かう	かう	副詞	歴史的仮名遣い
かう	綱	名詞	詩韻
かぅうんき	耕運機	名詞	広韻,同音の漢字による書きかえ（運）
